type,question,expected,actual,verdict,reason,mode,retrieval_score,asked_info
from_dataset,how long breast milk can be stored,"room temperature 2 to 4 hours, fridge 3 to 5 days","Room temperature up to 6-8 hours, but ideally up to 2 hours, and in the fridge for up to 5 days.",PASS,"The response correctly addresses the main intent of storing breast milk, providing safe and relevant advice on storage duration at room temperature and in the fridge.",data,0.919,True
from_dataset,my milk supply is low how to increase,"drink plenty of water before feeding, moringa or shatavari capsules, feed frequently",Drink plenty of water and have a high protein diet to help increase your milk supply.,PASS,"The response correctly addresses the main intent of increasing milk supply with safe and relevant advice, such as drinking plenty of water, although it does not cover all expected details like moringa or shatavari capsules and feeding frequency.",data,0.968,False
from_dataset,my baby is not latching what can I do,"keep trying when baby is most hungry, try different positions, takes 7 to 10 days","Try different positions and ensure the baby is hungry, as latching is usually easier during major feed times.",PASS,"The response correctly addresses the main intent by suggesting to try different positions and ensuring the baby is hungry, which aligns with the expected advice.",data,0.778,False
from_dataset,I have breastfeeding problem my nipples got cracked and it hurts,"apply own breast milk on cracked nipple, use nipple cream, ensure proper latch","Try latching your baby properly, and consider using a nipple cream to help soothe the cracked area.",PASS,"The response correctly addresses the main intent by suggesting proper latching and use of nipple cream, which are key components of soothing cracked nipples during breastfeeding.",data,0.93,False
from_dataset,how to clear blocked milk ducts,"hot towel bath, warm compresses, feed from affected side",Apply a warm compress and express milk frequently.,PASS,Response correctly addresses the main intent of clearing blocked milk ducts with a warm compress and frequent milk expression.,data,0.865,False
from_dataset,baby has fever what to give,"paracetamol drops according to weight, sponge with room temperature water, recheck every 4 to 6 hours",What is the baby's weight and current temperature?,PASS,"The chatbot response correctly asks for the baby's weight and current temperature before providing advice, which is a necessary step to ensure safe and relevant guidance.",data,0.838,True
from_dataset,my baby is constipated what to do,"water after every feed, ghee or butter in diet, fiber rich purees, duphalac if needed",Use duphalac kids syrup or suppository.,FAIL,"The response only mentions using duphalac, missing other key recommendations such as water after every feed, ghee or butter in diet, and fiber rich purees.",data,0.888,False
from_dataset,my baby has loose motions what to do,"give sporolac sachet, ORS, keep baby hydrated","Give sporolac sachet or enterogermina vial daily once, what is your baby's weight and age?",PASS,Response correctly addresses the main intent by suggesting medication and asking for baby's weight and age before providing further guidance.,data,0.775,True
from_dataset,when can I start solids for my baby,"start at 6 months with single ingredient purees, 1 to 3 teaspoons at a time","You can start solids for your baby by giving one fruit or vegetable, or eggs, mashed and made into a puree, around 6 months.",PASS,The response correctly addresses the main intent of starting solids at 6 months with single ingredient purees.,data,0.62,False
from_dataset,how many eggs should a breastfeeding mother eat,3 to 5 eggs per day,A breastfeeding mother can eat 3-5 eggs per day.,PASS,The response correctly addresses the main intent and provides a safe and relevant dosage recommendation.,data,0.775,False
from_dataset,diaper rash treatment,"diaper free time, coconut oil, sudocream or boroline",Give baby plenty of diaper-free time.,PASS,response correctly addresses the main intent of diaper rash treatment by suggesting diaper-free time,data,0.855,False
from_dataset,when does teething start in babies,"4 to 6 months, do gum massage, use gumeez if baby too cranky",Teething in babies typically starts between 4-6 months.,FAIL,"Core intent partially missed, response lacks additional expected information about gum massage and using gumeez for cranky babies.",data,0.97,False
from_dataset,postpartum depression mein kya karna chahiye,roz bahar jaana park ya playground mein bahut madad karta hai,Going out daily to places like a park or playground can help.,PASS,The response correctly addresses the main intent of helping with postpartum depression by suggesting going out daily to places like a park or playground.,data,0.637,False
from_dataset,baby bottle accept nahi kar raha kya karein,"7 to 10 din lagatar koshish karo, jab baby sabse zyada bhuka ho tab do","Bottle accept nahi kar raha hai to aapko thoda patience rakhna hoga, baby ko bottle ke saath familiar karne ke liye pehle bottle ko milk ke saath gungunaate hue sunayein, phir thoda milk bottle se nikal kar baby ke lips par lagayein, isse baby ko bottle ka taste aayega.",PASS,"The response correctly addresses the main intent of helping the baby accept a bottle, providing a safe and relevant method to familiarize the baby with the bottle.",data,0.684,False
from_dataset,when should I introduce cow milk,"only after 1 year, full fat, no added water","Around 1 year of age, cow's milk can be introduced to the baby's diet.",FAIL,response lacks key details about full fat and no added water,data,0.769,False
from_dataset,what supplements should breastfeeding mother take after c section,"vitamin B complex, vitamin C, iron, calcium for 1 to 3 months","Vitamin B complex, Vitamin C, iron, and calcium for 1-3 months.",PASS,Response correctly addresses the main intent by listing the recommended supplements for a breastfeeding mother after a C-section.,data,0.868,False
from_dataset,can I give dry fruits to 8 month old baby,"yes in powdered form from 6 to 8 months, roast before powdering","You can start giving dry fruits to your 8-month-old baby in a powdered form, after roasting them with water or milk.",PASS,"The response correctly addresses the main intent, advising to give dry fruits in powdered form after roasting, which aligns with the expected answer.",data,0.844,False
from_dataset,breastfeeding se weight loss hoti hai kya,haan breastfeeding se bahut weight loss hoti hai,"Haan, breastfeeding se weight loss hota hai, kyunki isme calories burn hoti hain.",PASS,"The response correctly addresses the main intent, confirming that breastfeeding leads to weight loss due to calorie burn.",data,0.707,True
from_dataset,baby ki dry skin pe kya lagayein,"vaseline ya emollient sone se pehle lagao, paani pilate raho","Aap baby ki dry skin pe coconut oil ya olive oil lagaa sakte hain, ye skin ko moisturize karne mein madad karte hain.",PASS,"The response correctly addresses the main intent of moisturizing the baby's dry skin, suggesting coconut oil or olive oil as alternatives to vaseline or emollients.",data,0.653,False
from_dataset,nasal congestion mein kya karein,"nasal saline drops daalo, saline nebulisation karo, baby ko hydrated rakho","For nasal congestion, try using nasal saline drops before feeds and sleep.",PASS,The response correctly addresses the main intent of relieving nasal congestion with nasal saline drops.,data,0.604,False
paraphrased,kitne ghante tak doodh bahar rakh sakte hain,room temperature pe 2 se 4 ghante tak rakh sakte hain,"Doodh ko 1 ghante se zyada bahar nahi rakhna chahiye, isse bacteria badh sakte hain aur baby ko nuksan pahuncha sakte hain.",PASS,"The response correctly addresses the main intent of providing guidance on storing breast milk at room temperature, emphasizing safety by warning against leaving it out for too long due to bacterial growth risk.",data,0.801,False
paraphrased,breast mein doodh kam aa raha hai kaise badhayein,"feeding se 15 minute pehle paani piyo, moringa ya shatavari capsules lo, baar baar feed karo","Aapko breast mein doodh badhane ke liye regular feeding ya pumping karna hoga, saath hi saath aapko achhi diet leni hogi jismein daliya, sabziyan, phal aur dry fruits shamil hon.",PASS,"The response correctly addresses the main intent of increasing breast milk production by suggesting regular feeding or pumping and a healthy diet, which is a safe and relevant advice.",data,0.833,False
paraphrased,my newborn refuses to latch on breast,"try when baby is hungriest, different positions, consistent effort for 7 to 10 days","Try expressing a few drops of milk and rubbing it on your nipple to entice the baby to latch, also ensure the baby is properly positioned and the nipple is fully in the baby's mouth.",FAIL,"Core intent missed, advice does not cover trying when baby is hungriest, different positions, and consistent effort for 7 to 10 days",data,0.73,False
paraphrased,nipple crack ho gaya doodh pilane mein takleef ho rahi hai,"apna doodh nipple pe lagao, nipple cream use karo, latching theek karo","Nipple crack ke liye aapko thoda sa breast cream lagana chahiye, aur doodh pilane ke time nipple shield ka use karein, isse aapko takleef kam hogi.",PASS,"The response correctly addresses the main intent by suggesting the use of breast cream and nipple shield to alleviate nipple crack pain during breastfeeding, providing safe and relevant advice.",data,0.705,False
paraphrased,baby ka temperature high hai kya dena chahiye,"weight ke hisaab se paracetamol drops, normal paani se sponge karo, 4 se 6 ghante mein check karo",Baby ka weight kitna hai aur current temperature kya hai?,PASS,"The chatbot is asking for necessary information (weight and current temperature) before providing dosage advice, which is a safe and correct approach.",data,0.735,True
paraphrased,infant is not passing stool for 3 days,"give water after every feed, add ghee or butter, fiber rich purees, duphalac if needed","Give water and fibre rich solid purees, how old is the infant and what are the stool characteristics when they do pass?",PASS,"The response reasonably covers the intent by suggesting water and fiber rich solid purees, and asks for additional information about the infant's age and stool characteristics, which is relevant for further guidance.",data,0.768,False
paraphrased,chhote bachche ko solid food kab se shuru karein,"6 mahine se shuru karo, ek cheez ki puree, 1 se 3 chammach se start karo","Aapke chhote bachche ko solid food 6 month ke baad shuru kar sakte hain, lekin pehle doctor se consult karein aur phir breast milk ke saath solid food introduce karein.",PASS,"The response correctly addresses the main intent of introducing solid food to a baby, providing safe and relevant advice.",data,0.652,False
paraphrased,baby ke nappy area mein lali aa gayi hai,"diaper free time do, coconut oil ya sudocream lagao",Apply a barrier cream to protect the skin. What is the baby's age and has the baby had any changes in stool or urine frequency?,PASS,"The chatbot response addresses the main intent of protecting the baby's skin, although it does not exactly match the expected answer, it provides safe and relevant advice by suggesting a barrier cream.",data,0.774,False
paraphrased,my baby is teething and very irritable what helps,"massage gums firmly with finger, gumeez ointment or coconut oil on gums",Try giving a teething toy or a cold compress to ease the discomfort. You can also offer a pacifier or let the baby suck on a clean finger.,FAIL,"The response does not address the main intent of massaging gums firmly with finger, gumeez ointment, or coconut oil on gums to help with teething irritability.",data,0.724,False
